x	y
-1.72	-29.4
20.2	-47.9
-32.8	-24.2
-26.5	-45.2
-0.284	-71.1
-7.96	-68.9
5.61	67
10.2	-36.3
25.1	-44.6
2.91	-45
7.98	-68.8
10.3	-53.5
9.04	-68.5
4.03	-71
12	-72.3
18.4	-60.7
-25.5	-43.7
1.98	-71.4
15.5	-60.7
13.6	-43
-5.23	-53.5
24.5	-47.9
5.76	-53.6
-31.7	-16.9
-34.8	-22.6
3.34	65.4
4.46	65
27.8	-44.2
8.95	-41.1
6.83	-69.9
5.17	-82.7
5.25	66.8
5.91	67.2
26.2	-43.6
18.8	-36.9
11.1	-43.8
-1.9	-56.8
9.85	-36.9
-6.2	-48.6
24.3	-49.7
9.54	-59.1
25.3	-45.6
3.87	-49.2
-12.1	-36.3
12.2	-43.3
-2.02	-47.1
14	-43.1
-6.84	-42.6
-0.438	-33.6
-10.2	-39.5
5.05	-47.1
25.1	-45.6
3.87	-49.2
24.3	-49.7
9.53	-59.1
24.3	-49.7
9.54	-59.1
-55.4	-3.28
11.6	-30
5.27	57.4
9.28	-35.4
14.4	-61.6
41	-2.06
-27.6	-38.8
19.3	-56.6
10.8	-38.1
25	-42.9
2.01	-60.4
-27.5	-38.8
-12.8	12.4
-5.08	15.6
-8.17	19
-4.3	14.7
11.7	-45
-11.7	-59.4
0.915	-28.4
-12.4	-23.8
25.8	-44
15.5	-35.9
5.84	-30.6
-7.45	-43.6
-22.3	-47.7
24.9	-49.2
10.3	-0.755
15.2	4.47
9.76	-1.21
13.3	1.32
-2.73	-61.4
-19.6	-46.7
-24.1	-32.4
-24.4	-34.2
-19	-41.6
15.9	-41.7
-1.01	-53.9
-4.63	-48.4
-13.3	5.27
10.4	-35.5
15	-32.8
14.7	-33
-5.5	-63.6
-13	-57.9
11.5	-60.2
-3.72	-61.8
-34	-23.3
-4.92	-48.5
-6.13	-63.7
-22	-46.8
-4.15	-61.6
-11.7	-59.1
-16.3	-44.7
-22.4	-46.9
13.6	-69.1
19	-36.4
-33.5	-23.7
-20.9	-43.5
-2.77	-61.2
-11.3	-59.1
-16.1	-44.7
-22	-46.9
25.1	-57.3
13.8	-71.2
16.1	-57.2
0.268	-65.4
19.8	-63.3
0.744	-65.7
20.3	-62.9
19.5	-63.2
-2.47	-70.8
20.2	-62.5
-1.68	-70.6
20.5	-62.6
14.9	-56.5
0.752	-65.9
6.81	-47.2
-1.09	-55.5
21	-56
20	-61
5.03	-61.8
17.6	-59.1
0.113	-61.1
19.7	-60.6
19	-61.2
1.06	-61.5
20.1	-54.6
0.371	-66.2
21	-56.4
18.4	-58.2
21.3	-56.3
4.34	-62
